Restaurant,Review,Rating,Label
Gal Punjab Di,Food tastes great for a quaint little place snuck in inner lanes of Gachibowli The place is lively with Punjabi music and the friendly staff As vegans that eat food with little oil and spice three of us had a sumptuous meal that comprised of Tandoori Aloo and Kebab as starters The initial order of a different kebab was sent back as the chef didn t comply with our little no spice request Our order of Aloo Parantha and Veg Kolhapuri came as requested however the Ajwain Laccha Parantha and Roti came laced with butter ghee The bread was replaced in 5 min or so as requested Aloo Parantha Combo came along with raita and chole We requested raita to be replaced with another serving of chole and the staff gladly obliged Barring the few delays due to non compliance of our requests we found the food to be delightful tasty and filling for a weekday dinner The shikanji was great too The staff are courteous but definitely could do well with internal communication with the chef s to ensure requests are fulfilled Go for it ,4.0,2
Karachi Cafe,An amazing cafe by karachi bakers each and every corner was used in a much different way a very retro theme was given with all the vintage pieces placed interior was very colorful and the yummiest part was the food i tried the pasta sandwiches which were just mind blowing A must try place ,5.0,2
Dunkin' Donuts,Yummy delicious and the pack of 6 for kids is very attractive We tried 5 6 varieties and all r good My nephew loved strawberry one They have many varieties of Chocolate donuts ,4.0,2
Chinese Pavilion,Went to Banjara with a couple of friends then to Gachibowli with family Wrote a review for Banjara just now but wanted to give one for This one was as well food is the same great thing I like the decor more here more modern than the Banjara place But same great taste and service ,5.0,2
Amul,supper,5.0,2
Squeeze @ The Lime,We used catering service from Squeeze The Lime for our kid s Birthday at our community premises We received compliments on food from most of our guests The service was good and there was issue even when our guest count was more than what we estimated We have chosen Squeeze The Lime for our Kid s B Day party as we found it very good when we attended few parties at roof top banquet It is the best place if you are planning to have a party with around 90 100 guests I look forward for another event with Squeeze The Lime ,4.0,2
T Grill,I just love this place Good Ambience it is very pleasant in the evening Away from the traffic and crowd it s a great place to organize any events especially in the lawn area The lighting adds to the elegance ,4.0,2
Green Bawarchi Restaurant,Supper job ,5.0,2
Feast - Sheraton Hyderabad Hotel,Awesome ambience and excellent food Wide range of food Salads starters main course fruit sweets everything was excellent Loved the experience Associate Rahul was also very helpful Will surely visit here again ,5.0,2
Tiki Shack,Tiki is well known place for its best drinks and friendly staff u will always love the food here and the ambiance is just simple it s a beach look located at very right place easy to identify great week endssssssss ,5.0,2
Yum Yum Tree - The Arabian Food Court,Excellent thank you ,5.0,2
SKYHY,I went to skyhy terrace lounge on weekend and it was great experience nice food love the ambience nice place to have photos good place to visit along with friends to dance asome cocktails friendly with mr london,5.0,2
Shanghai Chef 2,It s a small place with nice ambience and comfortable sitting The service was quick and people were friendly The noodles we ordered were okay and the veg kung Pao was good It s a nice place for a casual hangout and Chinese food ,4.0,2
Mazzo - Marriott Executive Apartments,Most amazing looking place in hyd a total refreshing relaxing ambience Rooftop lovers its a must try i m a rooftop place lover Every inch of the place is worth a picture I loved the burger esp I tried the thursday menu as i went on a thursday they served me yummy kodi fry kodi curry bagara rice and yummiest smeiya paisam with a moctail strawberry i had the best time i m sure u guys will too ,5.0,2
Green Bawarchi Restaurant,good ,5.0,2
Arena Eleven,Probably the best way to introduce you friends to arena eleven 19 299 399 299 20 20 20 399 20 20 30 20 20 30 30 30 399 30 30 20 30 30 399 399,5.0,2
Royal Spicy Restaurant, Not so spicy but totally lip smaking I was not sure whether i should order from this place or not With a semi doubt went ahead and ordered fish biryani and curd rice with coke And i must say it was a good decision i made The biryani was so good with nice quantity of fish 65 The curd was so creamy and good that i will surely order again from here ,4.0,2
PourHouse7,Decent food and good service our waiter subash was very nice and friendly his presence just improved the ambience of the place time well spent ,5.0,2
Cascade - Radisson Hyderabad Hitec City,I had a good experience with Radisson team and thank you for the host Salim Naresh Vilas enjoyed food and service thannks for your good experience Best place I suggest my friends,5.0,2
Hyderabadi Daawat,Excellent Taste and consistent taste This is my second time and love to go for Ambience and Taste Especially Chilo Kabab and Biryani also good ,5.0,2
Yum Yum Tree - The Arabian Food Court,Mixed Mandi So far the best one I had ideal for 4 to 6 people who r foodies ambience too gud service neee to be improved Seating good enough Loved it Try for the parties with ur friends ,4.0,2
Zing's Northeast Kitchen,The food is amazing Easily one of the best pork dishes I have had in Hyderabad The restaurant set up is like a cozy little shack and this along with the food transports you to another place entirely I m gonna become a regular here ,5.0,2
Dine O China,Visited with my friend on a lazy Sunday evening to satisfy our craving for authentic chinese food Ambience and service was really good Ordered sizzlers and some chicken noodles Found the both the dishes ordered to be sweet Liked the food overall ,4.0,2
Cream Stone,Had the best of icreams at creamstone We went there around 2 in the morning They have different flavours to pic from We had alfanso fruit exotica and ferrero rocher Exquisite desserts with unique taste I loved the alphanso They chopped these mangos over the yummy icecream Highly recommended ,4.0,2
Faasos,Firstly thanks to faasos for complimenting the food I ordered Their packing were good and the quality of food was also great The amount of chicken filled in the that eas huge where i couldnot eat one whole wrap For more details and posts please visit LETSEATHYDERABAD on Instagram Zomato ,4.0,2
Pista House,Visited this place a week ago with my foodie friends They had perfect hyderabadi starters which tasted awesome The malai kebab patthar ka gosht tai pei chicken were my personal favorites We Also had Butter chicken and butter naan The taste was just right Not so spicy at all Their biryani is famous so no doubt the biryani was exquisite Service was on point And the sweets were too yumm The double ka meetha and mango malai are the best among them Highly recommend this place For family and friends ,5.0,2
Hyderabadi Daawat,I happen to visit Hyderabadi daawat with family 14 members after long time v gotto taste authentic Hyderabad nawabi food sikandari raan kababs n soo on were js awesome Good service and decent ambience Sitting is super comfortable especially when you visit with family m planning to checkout other dishes as well a must try for Hyderabad nawabi kind of food lovers ,5.0,2
Mathura Vilas,Super place for vegans the food quantity is good enough quality is also great but the old boring music ambience is nice it is an efforable place for families,4.0,2
Zing's Northeast Kitchen,If you live anywhere in Hyderabad and you love eating pork and beef then this is a good place to try None of the dishes contains masala And the chutney given as complimentary with the main course is worth trying though it is very very spicy because of the BHOOT JOLOKIA Happy feasting ,5.0,2
Zing's Northeast Kitchen,The most amazing Naga beef I ve ever had The pork ribs are to die for The pork belly melted in our mouth Most of the dishes are tasty as hell Portion is kinda small but the price is correct for the portions Service is a bit slow One area they really need to improve is to get more and or better trained staff But the flavor of the food makes up for everything making me give 5 stars ,5.0,2
The Glass Onion,I don t see how this place can be rated anything other than 5 stars Food ambience and service is awesome There is no comparison to this place in Hyderabad I ve been served by Ani he takes care of customers and suggests great choices from the menu Personal favourites broccoli cheese kebab Non veg kebab platter Mezze platter ,5.0,2
Labonel,Having labonel brownies since childhood The best after Theobroma though P Chocolate brownies are my favourite Red velvet is also nice Tried marble cake also which is decent The best part of Labonel is its flawless packing Good for gifting ,5.0,2
Driven Cafe,Wonderful place to be with friends Recommend you to have the Caramel Mocha Tastes wonderful The coffee range is a very good range Cannot be compared to Starbucks but way better than Cafe Coffee Day ,5.0,2
Eat India Company,If it s Dal Bukhara in hyderabad it must be Eat India Company The hot and tantalising dal bukhara when rolled over a garlic naan with tinge of butter spread is an orgasmic treat to the tongue While the other items were good bukhara was the show stopper Missing bukhara in EIC is a big miss You may rather order just Bukhara dal and your palette has had its share of joy and would not ask for more ,5.0,2
Olive Garden,Was in Gachibowli recently regarding some work and landed up in Olive Garden for dinner after seeing their reviews Food was exceptionally good especially their crispy corn Even their main course items namely malai kofta and chana masala were very good All in all a very satisfying experience ,5.0,2
Driven Cafe,I visited here last week with my friend The pizza was awesome along with the dessert Pasta was fine along with latte The desserts are really good ,4.0,2
Tempteys,Extraordinary fantastic marvellous Best shake i have ever had A big thanks hugs n kisses to tempteys,5.0,2
Zing's Northeast Kitchen,I visited this place once and oh my oh my lemme tell you this place is ahmaaazing The food was amazing We ordered pork and it tasted so good just melted in my mouth I am salivating just by thinking about it Maybe there was just a little extra soy sauce in the food but however it was it was really good Highly recommended Will visit soon Chompchompchomp ,5.0,2
American Wild Wings,I absolutely love chicken wings so I had to try this new place in Gachibowli as I ve heard about it from a few friends I ve been to this place with a group of foodie friends This is a small outlet located on the first floor right above dirty burgers The place can host upto 30 pax max The place was bright and colourful with good lights all over the place Food We tried different sauces The Texas bbq spicy garlic Pattaya Thai original hot Mexican jerk and Amazon wild All of the wings were delicious and had varying spiciness The wings were slightly crispy outside and soft inside just the way I like them to be Next we were served with chicken nuggets and chicken popcorn The best munching dish I love till date are the chicken nuggets They tasted really good and were tastier than expected The nuggets were my favourite The chicken popcorn was not that great The presentation was not at all good and the chicken was very chewy Need to improve this Surprisingly the menu had biryani in it We tried their wings dim biryani The biryani was not that proper Hyderabadi biryani but had a good taste They served a really good quantity of biryani The management has to improve in their food presentations I personally liked this place and recommend everyone to do give it a try ,4.0,2
"3B's - Buddies, Bar & Barbecue",Starters are very good and servicing was excellent and good people around us and pleasant suraj had done good servicing for us and appreciable,5.0,2
Diners Pavilion,Great food never expected such a nice and spicy food in Gachibowli loved it place was pleasant to hangout with friends I recommend it strongly,5.0,2
Zing's Northeast Kitchen,I have been looking for good porks in Hyderabad n finally found it Pocket friendly and delicious food you would find over here Right opposite to SLN terminus quick service decent interior and courteous manner Pork ribs beef curry chicken momo the list goes on Don t miss this place ,5.0,2
Pakwaan Grand,Somewhere i feel like this n shah competes with each other one triesto deliver the best carrying both quality and quantity Seems like they ain t running for money but to feed us hahahaha ,5.0,2
10 Downing Street,Closed ambiance loud Food was filling we ordered veg platter and the pizza is a must try thin crust with a good amount of cheese if you re a cheese lover do try it Ambience 4 5 5 Service 4 5 Food 5 5,5.0,2
Karachi Cafe,good,4.0,2
Shah Ghouse Spl Shawarma,This place serves the best shawarma at the most reasonable cost Everyone should try shawarma at this place The shawarma is totally stuffed with chicken the fattest shawarma i ever had ,5.0,2
Mustang Terrace Lounge,I went to this place for Dinner I like the Roof top view it had and the ambience was good I orderd for couple of shots with Cosmopolitan cocktail and a Potato fry with garlic curry leaves and chilly flakes fried in olive oil and it was yummy served with maiones dip I somehow felt that the service needs to be improved and here is my overall rating out of 5 Ambience 4 2 Cocktail 3 8 Food 4 Service 3,4.0,2
Flechazo,One of the best restaurants in town they have got the best food and staff specially SABIR The ambiance is great and the variety of food they have is awesome Must try for chicken wings corn fry mushrooms pizza varieties of deserts They have got live counters for pizza pani puri liquid nitrogen ice cream which is one of its kind in the city rit now Visited this place for a friends birthday the complimentary cake Dance was awesome ,5.0,2
The Lal Street - Bar Exchange,Visited here Saturday evening place was full crowded and it took time to get a table though I ve booked online Drinks prices keeps changing here as stock market exchange prices which is speciality of the bar Dance floor ambience music everything is so good here ,4.0,2
Karachi Bakery,good,5.0,2
Khaan Saab,Excellent food and food hospitality extended Waiter Tapan took special care Would recommend Place is good for a small get together for official purpose as well ,5.0,2
Mustang Terrace Lounge,Though it was my 4th time visit to this place but honestly I enjoyed much on weekday party rather than on weekends Me and my friend are throwing a party for our colleagues I observed On weekends it s always overcrowded here and won t get seats for group 5 ppl or above may be due to dance floor This time we got a nice staff who served us very well with his prompt services Apart from our drinks we enjoyed Rawa fish sticks and delicious pizzas here Ambience 4 Food 3 5 Staff Services 5 Overall 4,4.0,2
AB's - Absolute Barbecues,We here to celebrate our 5th Anniversary We had fun and tummy full of amazing food The starter main course side dishes and dessert were just right we end with the traditional celebration process of songs and cake to cut Kind and helpful staff made the day thank you ,5.0,2
Tempteys,Ordered Ferrero Rocher Choco shake was soo yumm Thanks to Tempteys ,5.0,2
The Fisherman's Wharf,Sea food cravings Close your eyes and reach this place in Hyderabad A very wide spread variety of sea food Can t pen it here coz you have to visit here I have always been here for the love for 2 things Crabs and only crabs It is a must try speciality of the restaurant The Goan preparation made with recheado masala would rate that as the best as after eating that it will look like you have been feeding on blood as your hands and mouth would look bloodied Thats the fun of it Ambience awesome Staff too good Feels homely Love this restaurant more than anything 5 5 for everything ,5.0,2
13 Dhaba,One of the amazing places in Hyderbad serving good Punjabi food Had aloo kulcha with dal makhani aloo paratha with chole and paneer tikka All the dishes tasted awesome Service is also good ,5.0,2
Pista House,The best biriyani I had ever had I am in love with their biriyani And the amount they serve is awesome The preparation of food is so good The quality is also goid I would recommend you to have biriyani from this place ,4.0,2
Hunger Maggi Point,very nice,5.0,2
eat.fit,Eat fit is is the next level service witch can offer you the basic and simple food with all required proteins calories and energy And their packing is awesome ,5.0,2
Eat India Company,Had a lunch with two of my friends today it was such a good experience Service staff were friendly and polite and service was excellent highly recommended ,5.0,2
Cream Stone,Though busy but an awesome place to hang out Grab some delicious combinations of chocolate Nutty ice creams shakes waffles and you could probably have the best ice creams to satisfy your cravings ,4.0,2
Hunger Maggi Point,good and spicy,5.0,2
Momos Delight,good service by delivery boy,5.0,2
The Glass Onion,Visited the place on a Saturday We had reservations made for 8pm and reached at around 8 20pm only to receive a disapproving look by the lady and were told that it is difficult to hold a table this long The entrance gave a deserted look and we were thinking why is this female so arrogant Thereafter we got to know the real story as we moved towards the seating area The place was well lit with a posh ambience perfect seating and tranquil yet charming environment Really loved the idea of the hanging plants amidst the lights We ordered Lotus stem galauti kebab kung paw chicken teriyaki mushroom The starters were delicious especially the chicken Beware of the cocktail as you might be in for some surprises Ordered stir fried udon Noodles for main course Although a bit oily it was tasty full of vegetables The dark brownie ordered as desert was mouth watering the taste lingers The staff is courteous and the Vallet very kind and amazing person All in all a good experience ,4.0,2
The Glass Onion,Vegetarian Review Hopped in on a day before Holi for dinner and unfortunately it was a dry day Survived with food that day It s on the road to isb and is spread on a huge area with both outdoor and indoor seating arrangements while is outdoor has the view of the golf course and if the weather is great this is the best place to be Light music playing through the night was soothing We ordered lotus stem galouti with cheese kulcha Korean waffle fries veg penne Alfredo pasta and apple pie Lotus stem galouti The galouti tasted great with the flavours of Vegetables and didn t taste much of lotus stem and went well with green chutney and cheese kulcha Waffle fries The waffle had lot of honey sesame and soy and garlic with a burnt taste The waffle wasn t crispy and the didn t wasn t that great for my taste buds Alfredo pasta The pasta was creamy and had all the veggies the consistency was good and it tasted well overall Apple pie This was star of the night for me with the pie tasted great with the falvours of apple and cardamom and the icecream was cheery on the cake and the whole dessert was mouth watering and heart filling The staff is good and friendly I remember being the last one to exit and they were still nice Keep up the good service The whole order was around 1400 bucks which is a bit expensive for without alcohol but you get a dining experience and embience so good Overall a great place for some drinks and great conversation Ideal for romantic dates and celebrations The whole embience is calm and peaceful and makes it best among all theglassonion,4.0,2
13 Dhaba,Eating there or getting delivered amazing food Have had their chole bhature panner paratha Kadi chawal aloo kulcha and panner tikka bilkul ghar ka taste,5.0,2
The Foodie Monster Kitchen,Just now I have ordered chicken strips and pancake combo we like the food from here and chicken strips was crispy I like to order food from this restaurant,5.0,2
Feast - Sheraton Hyderabad Hotel,Breakfast buffet is always a surprise with variety in love counters Classic French toast waffles were fresh and best Thanks to Mr Deepak and Mr Dharma for attentive service and assistance Will meet you soon Happy morning,5.0,2
Frio Bistro,4 5 5 Just WoW Ambience is pretty cool Loved the food We ordered frio signature chicken wings and Bruschetta for starters Pork ribs and pan seared fish for Main course and of course Tiramisu for dessert Haven t expected to have an yummy delicious Tiramisu Your palate thanks you for having such a delicious food Definitely would recommend however I felt bruschetta taste was overpowered by olives which are not supposed to be in ,4.0,2
SKYHY,A beautiful set up ambience fancy setup great interior flashy menu decent food fantastic service and worth of money We went yesterday you can t believe the food test is so good than others restaurant making Finally we enjoyed it,4.0,2
Komatose - Holiday Inn Express & Suites,Few days back ended up at Komatose where they were having Grill and Chill on Saturday night We sat outside where there was live music With light winds and good company along with melodious music the setting was perfect to unwind The food that I tried included Pav Bhaji Paneer Tikka Tandoori vegetables and corn Special mention to the dessert spread that had Kiwi Mousse Fruit Cake Brownie Blueberry cake orange pastry to name a few Highly recommended for a good time with good food ,4.0,2
Squeeze @ The Lime,Great food always follows cooking instructions ,5.0,2
The Foodie Monster Kitchen,Delivery Review What a shawarma it was I ordered twice from this restaurant though it has been quite while since I ordered my bad The good things need to be acknowledged whthr late or early it doesn t make any difference Let s start with the review I ordered 1 shawarma 2 colddrink 3 waffle ice cream for the frst time and secomd time I onlu ordered chicken shwrma What a treat it was to look at the packaging taste and everything was so good I am quitd impressed by their service They need to work on just one thing Imrovement Needed The portion size should be a little more taste 5 5 appeal 5 5 quantity 3 5 The Foodie Monster Kitchen,4.0,2
Feast - Sheraton Hyderabad Hotel,Food was really good Pasta and the deserts were really good Would like to see more variations in the menu Few more live counters could incresae the variation ,5.0,2
The Glass Onion,Beautiful indoor and outdoor sitting delicious food We ordered Ravioli pasta which was a show stopper Nachos pizza and few of their mocktails Everything was just perfect infact I have been to this place earlier and have to say they never disappoint A big thumbs up Only down vote for the place being a bit pricy Would rate it as 4 5,4.0,2
Biryanis And More,Visited this place several times for team lunch as this restaurant is very near to my office It is recommended you reach there early as during lunch time the restaurant will be packed with office people Food quality and taste is very good Service also upto the mark considering the rush ,4.0,2
Dunkin' Donuts,The best and one and only place to eat donuts in hyderabad the chocolate donuts make you indulge into it and the sweetest of all ,4.0,2
The Indi Grill,Very nice and friendly hospitality We love the food and the ambiance The staff was very friendly and warm specially subendu and urban We had a awesome time with family Recommend to visit for sure ,5.0,2
Tempteys,Awesome,5.0,2
The Fisherman's Wharf,Food is great here Surprisingly even veg food was good we ordered variety of veg and non veg starters and food was simply awesome Their staff is very coordial too Live music and the goa feel adds to lot of fun I believe the photographs talks itself for amazing ambience they have to offer ,5.0,2
Owm Nom Nom,good,5.0,2
Driven Cafe,Awesome food Been here couple of times and always satisfied with the food Food 4 5 Ambience 4 5 Service 4 5 Open 24 7 and friendly staff ,4.0,2
Asian Meal Box,Work on Saturday Ah what can i say Ordered a medium chilly chicken egg noodles box from here perfect combination to go with A lil oily but Excellent quality of food Quantity was perfect for one will definitely order again happy dining yall ,5.0,2
13 Dhaba,On time delivery delivery handling was also good Food is being my favorite now I thank to restaurant and zomato as well for better service,5.0,2
Cafe Eclat,Hey friends I visited cafe eclat on 31st December 2018 with my office colleagues and they treated us very well We ordered pizza nachos banana ginger milkshake and many other items The service is quite good and staffs are well trained The place is nice and cozy I recommend this place for everyone Food 5 5 Service 4 5 Ambiance 4 5,5.0,2
Feast - Sheraton Hyderabad Hotel,Been here with family over a dinner on Thursday After a movie was thinking about having a luxury dinner and feast hit my head The ambience was good The hospitality was great Need to mention about Chef Chimnayi and also steward Dharma for there living hospitality Coming to food the spread was big with and uncountable with cuisines like Lebanese chinese Indian and continental After so long I actually loved the taste of almost all items Be it salads starters main course and finally my most favorite desserts They served 18 4 varieties of cold hot desserts which are prepared by their own and not outsourced Special mention chocolate pudding gud ki lapsi wood fried pizza salads baked yogurt pure ghee be an ladoo Food 5 5 Ambience 3 5 Rating 4 5 Hospitality 4 5,4.0,2
Aromas@11SIX,good,5.0,2
Komatose - Holiday Inn Express & Suites,Great Service as the staff is very friendly and gives a personalised touch to your evening the ambiance here is outstanding it gives a different vibe all together This is one of the only bars in the city where even if you come alone you will end having a great time and find great company for yourself without fail Food is something to try the new menu is out of this world I tried the kumbh ke Galaoti and Murgh Malai Tikka and they were finger licking I would give them a 6 Star ,5.0,2
