Restaurant,Review,Rating,Label
Club Rogue,Over all good experience but Cons Entry ONLY for ppl who show corporate ID is kinda too much And also rude behaviour of bouncers Instead of making us feel safe they themselves scares the customers Pros Price for alcohol and food is at its best and the inside ambience is amazing The way DJ plays music is awesome He makes even non dancers to dance till their body aches and also crowd is amazing,4.0,2
Barbeque Nation,Had to wait a bit to get a table that s a good thing great food and best service such a great staff Sudeep Roy Naresh ur a star I have seen him doing everything keep up the good work guys,5.0,2
Squeeze @ The Lime,This hotel has both accommodation and hotel downstairs I was for 3days in this hotel the hospitality was good and suiets are costing around 3k per day In the room they have provided all the things 24 7 hot water facility All the decorative pieces are good here and beautiful ambience I ate Shezwan fried rice it s good here and spicy it s costing around 225 We ate veg biryani garlic naan and panner tikka masala curry they are very good to taste If you stay in this hotel breakfast is complimentary They have provided many bf items which I could not able to those many Coming to the breakfast in break they have provided both English and Indian breakfast they gave milk and cornflakes idli dosa and upma Coming to English bf they have provided fruit bread wheat bread and also milk bread and you can toast them also They gave 2 variety of cakes one pastry and other cup cake They have also given roasted tomato along with mynassie One more is crossient and watermelon juice and fruits overall ambience 5 5 food 5 5 service 5 5 one more thing this place is only for vegans not for non vegetarians ,5.0,2
Dine O China,Ordered Chicken Bamboo Rice via Zomato I liked the flavour of the Chicken Bamboo Rice food was good in quality and quantity ,4.0,2
Tiki Shack,If you love to get lost in music and enjoy a real good ambience then my friend Tiki Shack is your place Staff is quite food I used my Zomato Gold membership there and enjoyed 2 2 on drinks Food was delicious too I would love to spend more such evenings there ,4.0,2
Deli 9 Bistro,Small but a Lively place Very good service I love the nachos here which are served with cream of mayo etc the main course dishes combinations are good and evethng here to worth trying ,5.0,2
Labonel,One of the best bakeries in Hyderabad I say One of the best because I am trying to find something to match it and haven t been able to The brownies are amazing their cakes are really good Lobonel doesn t bake It makes magic And the taste lingers Must go place in Hyderabad You can t miss it ,5.0,2
Pista House,We orderd banjara kebab which was extremely soft juicy and outstandingly tasty full marks to this starter that melts in the mouth This was followed by Zafrani murg Biryani which tasted good but not out of the way tasty Both dishes were moderately spiced and i am happy about it Great value for money and good service ,4.0,2
Labonel,SUPERLATIVE I have been here once and the taste hasn t left me since I love their brownies They are super yummy and the texture is something I have never been able to find anywhere else yet It is a melt in the mouth treat just the right amount of everything in it I also loved their assortment of cupcakes Worth a try ,5.0,2
Cafe Eclat,Just happen to stop by this cafe on the roadside Amazing cafe at a prime location Food is really tasty m coffee was amazing Little overrated n over priced ,4.0,2
Paradise,As usual the food is always good world famous biryani I love to eat Paradise Biryani where ever i am Service n Ambiance are also very good ,5.0,2
Hunger Maggi Point,Very nice and tasty Maggi You guys are awesome but still I feel like the price is little expensive else all good I would give you 5 stars for your good job ,5.0,2
The Lal Street - Bar Exchange,What an ambience It was a Saturday evening on which we visited this place It has got that stock market price fluctuation system for beverages We could order ourselves from the app The Lal Street to be read as Dalal street where the stock exchange is actually listed In terms of food we ordered two preparations Cheese Chilly Toast was well prepared but had a lot of chillies The Lal Special Pizza was not upto the mark coming from a reviewer from Kolkata If you hit the right price alcohol can be really cheap We ordered Black Dog Triple Gold Reserve for around 180 INR It s definitely a bang on party place which requires a little improvement when it comes to food ,4.0,2
Prism Club & Kitchen,Super impressive ambience in this very spacious club Loved it A GREAT place for party We tried paneer and broccoli in black bean sauce tandoor stuffed mushrooms white sauce pasta and some pizza FOOD WAS AMAZING Everything was very tasty Definitely a place worth visiting TIP PLEASE CHECK YOUR FINAL BILL TO MAKE SURE THE WAITER HAS DEDUCTED COVER CHARGES so you don t end up paying more ,5.0,2
Triptify,good,5.0,2
Dunkin' Donuts,It took me so long to pen down this review 6 days to be exact And why you ask Well that s because I had to taste 6 donuts in all Yess I decided to try the festive Rakhi donut box that comes with 6 mini Donuts ranging from death by chocolate chocolate filled mango flavored two classics etc All this priced at Rs 199 plus taxes This roughly came out to Rs 243 So much goodness in one box Now I can t name each of the Donuts but I can say that majority were chocolate based Of the 6 donuts 2 were classic style and rest 4 were filled ones The first one was the classic sugar coated Simple and goody good The second one was a chocolate coated classic donut This one was fine Next up the mango flavored one This one had a mango glaze on top and center filled with mango puree or jam This was a fresh taste after so much chocolate The fourth one I think was death by chocolate This one had a delicious chocolate coating on top and center filled with gooey chocolate The fifth one had a chocolate topping but cream filling This one was ok The last one again had a chocolate topping and a vanilla filling This one was good The topping had some sprinkles too All in all a sinful treat for all donut heads out there Definitely a must try Breaking away from my usual style of writing I will come to the location and ambience after the food So this outlet is located on the ground floor of SLN terminus Very easy to locate The board is visible from the road The interiors like other Dunkin Donuts outlets is quirky with pop colour furniture and interesting wall designs On a Sunday afternoon the place was moderately crowded Service was good No issues there Would love to visit again ,4.0,2
Dunkin' Donuts,2018 is the first time I had chance to eat donuts interesting desert to eat with good amount of chocolate We also had burger and hot chocolate Burger was good and beverage was perfectly sippable ,4.0,2
B-Dubs,Great staff Bharathi has given her best in her service Good food and great service Kudos to the management and staff I would recommend it to friends and family ,5.0,2
Over The Moon Brew Company,A good place to hangout with friends Good ambiance Good food Great music alsp good outdoor seating Staff was very well and polite Kundan served us very well and was very professional ,5.0,2
Royal Spicy Restaurant,very good,5.0,2
KS Bakers,Today morning me and my friends and had some pastries very good in taste Very decent prices Some black forest I think we had today good taste,5.0,2
Domino's Pizza,Quick delivery even in rains,5.0,2
Amul,Names of the items on the top of boxes must be present to distinguish,4.0,2
Green Bawarchi Restaurant,This is the first place I experienced Hyderabadi Biryani I walked in and ordered a chicken briyani No big deal The cost was nearly the same as in Chennai about 200 bucks I don t remember exactly but it was around 200 I was shocked when the waiter came with a big serving of briyani How big you ask Two people could share it easily The taste was first class I for one can handle briyani as much as you think but I was stunned It isn t the best briyani I ve ever tasted but its my first Hyderabadi Biryani and I loved it Such a great experience ,5.0,2
Eat India Company,Great place and wonderful service by Dilip We ordered a fist starter and a biryani Fish was very good Loved the place Will visit again for sure,5.0,2
10 Downing Street,Great lively place to hang out with friends Music here is great dj surely knows his music Service is top notch too Food wise starters were yummy Has paneer kadhai and roti found it to be spicy but tasty The outdoor space offers great views of the city Overall a o brainer when it comes to having good times with friends ,4.0,2
Cafe Eclat,I was so glad when we shifted to our new house because it was so close to this place This is our favourite breakfast place on a lazy day especially when we are hungover The Eggs Benedict with salmon is my favourite Our visit to cafe Eclat is never complete without eating the amazing french toast Do try it and you would cherish every single bite I hardly have pictures because as soon as the food arrives we just attack The one I have attached was taken to make my sister jealous ,5.0,2
Marsala Food Company,On weekend we were in search of restaurant to have hyderabadi dum biryani As we entered out of office we found number of restaurants all were busy We found this restaurant in the third floor and thought of visiting this place becoz it is third floor and will not be much crowded but surprisingly people where waiting for seats We ordered for chicken kebabs for starter which was perfectly cooked with awesome taste and after that we ordered chicken biryani which was came up with nice quality and superb taste with good enough quantity By the seeing the price of biryani we got shocked and after looking at the biryani quantity surprised Serious it was good quantity for the price After a gap of two weeks we again visited the place have Al mandi and we order for grilled chicken mandi which of average taste ,4.0,2
PourHouse7,Perfect hangout place The setting is basic and ambience is great The service is superb Quality and quantity of the food both are awesome The corn kebab is good They have a terrace sitting The music is amazing ,5.0,2
Hotel Zara Hi-Fi,Nice food good place for foodies and tasty is good and price is also tooooo normal but need to improve some spicy and if it does then itsss toooo goddd,5.0,2
Zega - Sheraton Hyderabad Hotel,Nice plan great Asian food Amazing and hospitable people Good ambience We went here for a group dinner with 25 people the staff was very nice and courteous The food was nice ,4.0,2
Sardarji's Chaats & More,I ordered Aloo methi paratha and I m it was awesome just feel lik I m eating ghar ka khana its yummy Previously also I have ordered from this restaurant and the food is so good I think people should go there and have food its really good ,5.0,2
Momos Delight,Size of the momos could be improved Otherwise taste is fine enough,4.0,2
Driven Cafe,A good place with a grt collection of cars n bikes The shakes wer not bad and the service was quick However we end up by watching those automotives ,4.0,2
Shah Ghouse Hotel & Restaurant,Absolutely everything about shah ghouse is amazing You wouldn t mind the ambience much as food is finger licking good You can tell that the place serves good food as it is always crowded They serve the best mutton biryans shawarmas and murgh musallam not sure of the spelling 5 stars only for the food ,5.0,2
Shah Ghouse Spl Shawarma,I tried 5 highest rating Shawarma places in Hyderabad and this is the best most filling place Simply amazing The special rumali is the best ,5.0,2
Komatose - Holiday Inn Express & Suites,Good food Awesome ambience You will enjoy very much If somebody else is paying the bill There s nothing better than a sponsored lunch Quality nice,4.0,2
Chinese Pavilion,We book a table at Chinese pavilion as name suggest they specialized in more of Chinese or oriantal cousins food n service was good n fast ,4.0,2
The Tilt Bar Republic,Nice view of busy junction of Gachibowli This place is for the people who are looking for an wonderful brewery Also a nice place to Hangout ,4.0,2
Jonathan's Kitchen - Holiday Inn Express & Suites,They have a very good spread in their buffet The non veg dishes have a unique flavour and taste which keeps this restaurant different from others especially the mexican chicken and fish All the varieties in veg are good Ambience and service is excellent ,4.0,2
Triptify,The parathas actually tastes like an authentic North Indian dish Not a big fan of spicy food but liked the parathas A LOT For ppl like me who prefer low spice food shall make a special mention ,4.0,2
Khaan Saab,Very good service went with my kids in Saturday night amazing experience paneer was really up to the mark Service led by Mr tapan who served us was amazing Definitely worth another visit ,4.0,2
Flechazo,Anup Ayuv Rajesh are really good Liked the hospitality Came for team dinner and really had a good experience One of the best places to have buffet,5.0,2
Shree Santosh Dhaba Family Restaurant,Goos delivery,5.0,2
Cascade - Radisson Hyderabad Hitec City,We are staying in radisson and haveing fud daily past 20days it s awesome all staff are cooperative just want to thank chief Manoj and chief tanuirma so helping out and giving us tasty food daily and serving,5.0,2
Ulavacharu,Me and my friend went for authentic South Indian pulao and boy the dishes are really tasty We had kodi pulao and it was super tasty Definitely going to go again ,5.0,2
Olive Garden,It was nice experience with team They have lovely ambience good spread of buffet need to work on service Service is not up to mark what we expect from this kind of restaurants Ambience 5 5 Food 4 5 Service 2 5 5,4.0,2
Owm Nom Nom,nice delivery,5.0,2
Gal Punjab Di,Went here on last friday I didn t knew about this restaurant before just found out in the street and went Food here was Awesome I had ordered for Dahi Kebab and it was outstanding The food presentation and quality and taste all were good Would certainly love to visit this place again Hope they keep continuing their good work ,4.0,2
Feast - Sheraton Hyderabad Hotel,I enjoyed staying in the hotel everything was perfect special thanx to mr mahesh for his smile and perfect service food was amazing staff was very lovely ,5.0,2
Green Bawarchi Restaurant,good,5.0,2
NorFest - The Dhaba,It s serves one of the best punjabi food in hyderabad the galouti kabab will melt in your mouth as soon as you will eat it The deserts are not good though but still it will remind you of northe indian taste ,4.0,2
Collage - Hyatt Hyderabad Gachibowli,The buffet meal was worth the price You can have around 14 dishes and around 10 desserts and of every type Continental Chinese or Italian whatever you like you can Try anything since it s the combination of all with a pinch of Indian dishes also The environment is really nice and the staff is polite and helpful The red velvet pudding was my favourite with other type of pastries The presentation of the dishes was also nice The main attraction was the live kitchen to serve you your noodles and pasta ,5.0,2
Arena Eleven,Paneer starters are aweome loved the buffet and mock tails are simply superb nice place to hangout with family and friends staff are very welcoming,5.0,2
Shah Ghouse Hotel & Restaurant,Offers one of the Best Biryani s in Hyderabad Also their Irani chai is awesome Both of them are must try you ll not be disappointed Place is little crowdy though ,4.0,2
Mohammedia Shawarma,awesome delivery service,5.0,2
Absolute Sizzlers,Absolute sizzlers absolutely great place to dine groups Thay serveing great buffer with good food Nice to we visited here Highly recommend We want to visit again ,5.0,2
Khaan Saab,Staff is super friendly and the great ambiance will give you the good feeling coming to the taste it s good with masala quotients so pretty much indulgence Finally could be a 4 of 5 value for your money,4.0,2
Amul,super,4.0,2
Dine O China,One of the best vegetarian Chinese food in Hyderabad Soup and starters were served hot and fresh and had very good taste Schezwan noodles garlic chili noodles and double mushroom gravy in main course were very delicious This place has nice ambience prompt and courteous staff Overall had a great dining experience with family ,5.0,2
GD's,Ordered the asteroid burger And it was the best burger I ve ever had in my life Potato wedges crisp and spicy The sauces were bang on The melted cheese on a layer of seasoned veggies The bread could have been slightly better The main usp of this burger is that everything blended perfectly Can t wait to try more of their burgers ,5.0,2
SKYHY,Having a great time and excellent service by Saboo This place is a must Excellent drinks and very good pizza Come join us some time See you there ,5.0,2
Hyderabadi Daawat,I am a crazy eater This is THE best among the best restaurant Very beautiful ambiance and so is the food and service Highly recommend this restaurant Spoke to them they have party hall and party orders I will host my next party here ,5.0,2
Deli 9 Bistro,Amazing nachos and a really good tenderloin burger The ambience is really nice and cozy Service is quick and polite Veg menu is limited and a few more starter will be great ,4.0,2
Green Bawarchi Restaurant,Food is good but not up to the mark and decor is not good at all Not suitable for family There is a A C on upstairs bit that also not that much hyganic,4.0,2
Hyderabadi Daawat,awesome taste,5.0,2
Arena Eleven,Great food and good ambience Multiple screens makes he experience thrilling Must try once The staff was courteous and friendly good service,5.0,2
Yum Yum Tree - The Arabian Food Court,I celebrated my birthday with my bunch of gang food is awesome especially fish is too good must try and Mandi too smooth and tasty so guys must visit place in Hyderabad for foodies ,5.0,2
Udipi's Upahar,One of the best places to have South Indian tiffin varieties in Gachibowli area Most cost effective and tasty quick fast food on offer I enjoyed the food here and have tried out many times and on almost daily too If anyone have any doubt the crowd that is present here almost all of the time should indicate the popularity of the joint here Situated in a busy area on the Gachibowli main road near to the ORR inter junction You cannot miss the place I have tried out their meals tiffin varieties the bhajji pakodas in the evening and also their tea Have been satisfied with all of it and do not have any complaints Absolutely zero ambiance and its self service too Be prepared for the rush and once you get the token be prepared to be squeezed in a corner to give out your token to the waiters inside There is no queue system here and they just collect your tokens at random When your food item is ready they spot you and give it to you Be prepared for some hassles out here as you get jostled around Finding a spot to eat your food during rush hour is also a problem There are a couple of tables to sit but majority of the others stand at the tables and eat Just eat your food quick and rush out My fav of theirs is the Dosa I just loved the Chutney and the sambar taste even though it was a bit sweeter to my taste Also loved the Kerala Parotta which is a fav dish of mine back home here in Chennai ,4.0,2
Udipi's Upahar,A regular tiffin place in gachibowli Their idlis Mysore bondas and vadas are all wonderful The sambat idlis are great too Super fast delivery,5.0,2
The Fisherman's Wharf,Perfect place for corporate dine outs Had a great time with my team dinner Wide variety of Goan dishes and other food as well as beverages A bit expensive but OK The private space was good at Margarita lounge ,5.0,2
Mathura Vilas,Great food very hygienic and clean Recommended for vegetarians I will suggest you try the Tandoori Mushroom Thank you Bhagirathi Jena and team for the awesome service ,5.0,2
The Glass Onion,A memorable experience would be the right caption for my recent dining experience with this restaurant Staff was very courteous proactive special mention ankit vishal The restaurant has breathtaking views of the golf course around The interior designing is another remarkable thing to notice Last but not the least The Food I can still recall the tempting taste left on my tastebuds while stepped out that night MUST VISIT M definately coming back ,5.0,2
Gal Punjab Di,Food is good in taste Specially the rotis are very soft and crispy Kadhai paneer was okay as it was not really a Kadhai paneer basically a paneer curry Service is quick Overall a value for money ,4.0,2
Prism Club & Kitchen,Went to attend the Nucleya concert May 2019 It was very very crowded But the ambience is great The interior design is definitely one of its kind Good place to party with friends The security is nice Since it was a crowded evening the only thing we ordered was a pizza which was Okayish ,5.0,2
Cafe Eclat,I love this place they have an wide array of bagels croissants omelette It has prefect ambience that of a quaint English cafe it s sparsely crowded and my preferred place for leisurely Sunday breakfast ,5.0,2
Mazzo - Marriott Executive Apartments,The food was very good and Tasty though there were limited options in menu I liked the ambiance and service more Best time to go would be in the evening ,5.0,2
The Chocolate Room,I m totally maaaad about chocolates So when I came across something named Chocolate Room you could imagine my happiness As expected I was so confused about what to order because everything on the menu looked DELISH I ended up ordering a Choco Crunch Mocha The ambience was so cool for hangouts and the service was good too The prices were reasonable I d love to go back there pretty soon ,5.0,2
KS Bakers,very good and had ultimate taste of the cake It was too good and my friend was so happy for her birthday cake which was so tasty and yummy The packing and quantity is also too good The delivery boy was also polite,5.0,2
Domino's Pizza,The pizza if eaten at the restaurant is very good Home delivered pizza are somehow tasting pale Otherwise the pizza is the best out of all the pizzas I have had lately ,4.0,2
Desi Bytes,very nice,5.0,2
KFC,nice,5.0,2
Momos Delight,One best momo stop in town From don t know how long i have been looking for places that serve good momos in hyderabad and found none Recently ordered from this place and turned out they are just the best momos you can have I ordered chicken steam momo and kurkure paneer momo and both of them were very delicious Home delivery was very quick ,5.0,2
Being Hungry,This place serves delicious food with proper blend of spices I prefer non veg food and the taste is truly amazing Pocket friendly good food quantity and appreciable staff service ,5.0,2
The Indi Grill,After hearing good reviews about this we went for lunch buffet First and foremost thing you will notice is the courteousness of the staff there Once you book the table they write your name on a board outside We took the seat in the first level as the ground floor was full Starters were served Veg starters were too spicy but very tasty Its better you mention them the spice level before itself Even main course was pretty good in terms of taste Nothing much special in the menu but taste and staff were good BALA who served us was very courteous Please give him a star ,4.0,2
Zega - Sheraton Hyderabad Hotel,Great place to hangout with friends Some of the best Asian food you can get in this area I really like the Kung Pao chicken and their signature lamb chops Cost is a little on the higher side but well worth it ,4.0,2
Green Bawarchi Restaurant,good,5.0,2
"3B's - Buddies, Bar & Barbecue",Very good food with great ambience specially Govind s service was extremely good with very good behaviour who had a very good attitude throughout our dinner,5.0,2
Cream Stone,I liked the way they present and the staff were all ladies who prepared the order Ice cream was too good that I felt better than naturals at that time I ordered fresh fruits and nuts and it was amazing ,4.0,2
Beyond Flavours,It was a very nice experience Food was amazing Friendly staff with welcoming attitude Papia was very friendly and accommodating Good ambiance I will definitely recommend this place ,5.0,2
Frio Bistro,A nice place for a date went there on a Sunday afternoon Service was fast We had 1 Ceasar salad which was good 2 Spinach and Cream cheese ravioli which was okay ,5.0,2
KFC,I have ordered from here using the Zomato app The ordering was simple They responded very fast and I had the food delivered within 30 minutes of the order This was a happy experience The burgers were very good and the chicken legs still warm and succulent The rice with small chicken nuggets was also excellent though the quantity seems to be a little less ,4.0,2
T Grill,It s situated after icici building spread into huge place Went for lunch here ordered Masala Kulcha tasted ok Murgh Malai Kebab was good and kheema Pulao which was special dish that day was good but it s always crowded due to the offices nearby ,4.0,2
Sardarji's Chaats & More,Awesome food I tried chat and samosa and it is one of the best in Hyderabad Must try and zomato provide the facility to order online which adds to your likings,5.0,2
Karachi Bakery,good,5.0,2
Kritunga Restaurant,Best place to eat Taste South Indian touch and environment is nice great place keema biryani is all time favourite nice taste and service is excellent,5.0,2
American Wild Wings,Awesome Place Nice Menu Great Ambience Different drinks customized food especially Biryani top notch I will come again and again Great place to have parties and events ,5.0,2
Tempteys,good,5.0,2
Zega - Sheraton Hyderabad Hotel,Cozy atmosphere Place looks amazing Located at high floors and view is good as well Too less options in food when it comes to Indian or Chinese in Zega Finally a place for drinks with royal ambiance around ,4.0,2
Banana Leaf Multicuisine Restaurant,Banana leaf has a good options for veg and non veg buffet Ambience was good As it was a Saturday brunch we have stick to the veg and ordered some from the menu Garlic naan and pudina paratha along with spicy kadai paneer gravy was our choice All of them were good and gravy texture was perfect Definitely worth trying ,4.0,2
Kritunga Restaurant,super but costly ,5.0,2
Mazzo - Marriott Executive Apartments,It was amazing the food was delicious and the service was amazing on always on time and everything was good N white pasta was awesome u should try this Mr Sudhakar was very helpful he was very nice chef N the staff was also nice Good was awesome I will give 5 out of 5 Star ,5.0,2
Jonathan's Kitchen - Holiday Inn Express & Suites,My steak experience here was a lovely one Though I asked for medium rare done steak I was served a well done chunk of chewey meat that I didn t appreciate The sides however were perfectly made and impressed me all on their own The light and brightly lit interiors with white flowy curtains that never allow harsh sunlight to make eye contact make this place lovely for a laid back brunch The eatery has an aura of tranquility that you simply cannot deny ,4.0,2
Shanghai Chef 2,This place is amazing The food is really tasty especially the chef recommended The owner Suhail is very courteous and professional He suggested some great stuff to try and customised the food as per our requirements ,5.0,2
Squeeze @ The Lime,One among the good pure vegetarian restaurants ambiance is average Food is good quality wise However I have been there multiple times and have observed a deterioration in the service Earlier they used to being finger bowl on the table sauf in the end even have sometimes offered some complimentary chocolates for trial Now despite of asking multiple times for finger bowl they didn t gave a damn about it ,4.0,2
Hyderabad Chefs,Nice,5.0,2
Sardarji's Chaats & More,The best vada pav I had in gachibowli Chaats are just awesome You will love Alu kulcha with Dal makhani although they should increase the quantity of Dal makhani but overall it s a great place to eat ,5.0,2
Being Hungry,Daal chapati was good I have ordered Mix veg but it is like okay okay please try to make more tasty Order received on time Packing was good ,4.0,2
The Old Madras Baking Company,I didn t give a 5 because I felt everything is a bit costly here But the bagel and cream cheese is a must try it s delicious Bagel costed 50 bucks plus cream another 50 ,4.0,2
Faasos,Fasoos Navratri review program Ordered the Singhada aloo paratha and panner makhanwala meal The packaging and the presentation was very nicely done The singhada aloo parathas were nicely baked and tasted really good The spices in the parathas were less but that s according to my preference The paneer makhanwala was creamy and tasty It was neither too spicy nor too sweet it had just the right taste and aroma Overall a good experience definitely recommended ,4.0,2
Collage - Hyatt Hyderabad Gachibowli,We went for team lunch here No doubt it has a great ambience and service Staff was friendly and took care of all our needs Food I would say is good but nothing extra ordinary I feel almost all 5 star hotels in Hyderabad have same items on their buffet menu Desserts were great Ambience 4 Food 3 5 Service 4 5,4.0,2
Over The Moon Brew Company,Do ask for Makhan if you visit great service good beer Fermentation smell can get some people uneasy but beer lovers will surely appreciate ,4.0,2
Sardarji's Chaats & More,The chaat that this restaurant offers is amazing and never ate such delicious sev puri ever in Hyderabad amazing taste satisfying quantity Chaat lovers must try ,5.0,2
The Tilt Bar Republic,Nice place this Excellent choice in Beers probably amongst the best in Hyderabad Sober ambiance and good music Wonderful mix of crowd and some okay dishes served up We tried the Egg Manchuria was pretty unique and then it was the Spicy Fried Idli was off beat The Chicken tikka was standard A little spicy on your pocket but what the heck a few beers don t harm Although the service could have been a little more prompt See the TILT in the Beer Ambiance 3 5 5 Food 3 5 Beer 5 5 Service 3 5 5,4.0,2
Olive Garden,nice,5.0,2
The Chocolate Room,very good service very good offers Better than Swiggy,5.0,2
Olive Garden,I am a food lover My love for food has increased after eating food from here Ate the loveliest pasta and biryani ever One of the best restaurants ,5.0,2
The Tilt Bar Republic,Such a great ambience it has Food is damn tasty Service can be actually improved choice of drinks and food are really less Would recommend it for food it has ,4.0,2
Mazzo - Marriott Executive Apartments,so the place is quite decent poolside place and njoy ur dates and they hav classy indoor sittin too food is good but to be corrected as per our needs mostly bcz i like spicy food food 4 5 ambience 4 5 service 4 5 bar 3 5,4.0,2
The Glass Onion,This is relatively new place Glass onion has a good ambiance and surroundings Tried pasta grilled chicken and couple of other starters service is very slow otherwise a good place and priced well,4.0,2
Komatose - Holiday Inn Express & Suites,Great place with nice ambience Cocktail s was amazing Mouth watering food with neat service Nice place to hangout with friends family too ,5.0,2
Hitech Bawarchi Food Zone,gud service and on time,5.0,2
Triptify,Today I ordered some paratha from this place Delivery was on time and packaging was really good They send butter curd and chutney chutney was tasty I ordered paneer paratha and aloo paratha aloo paratha was delicious stuffing quantity was perfect Paneer paratha was luscious too paneer masala was tempting even paratha side s were filled with good quantity was sufficient Personally I loved their paratha and service too I definitely recommend this place Follow me on Instagram veganyums for more pics and food fun ,4.0,2
Al Saba Restaurant,Visited more than 6 times Biriyani taste is really good as usual Properly cooked rich flavoured biriyani Clean dining area and service is also good ,5.0,2
Domino's Pizza,Good,5.0,2
